Account,UserRatio,Followers
stephenasmith,16.23,3129168
realskipbayless,8.094,5618244
raycondones,49.3353,282600
flawlesslucki,77.5243,199500
nytimes,0.1774,52000000
latimes,4.704,3800000
jcole,67.273,14200000
postmalone,38.05639,6800000
nfl,85.86,29700000
nba,67.06,37000000
nbc,32.71,2100000
nvidia,36.9,1800000
Tylerthecreator,114.79,9200000
VinceStaples,121.02,1200000
Aboogie,52.43,1100000
MachelMontano,37.82,234100
RealMadrid,190.89,41100000
CristianoRonaldo,57.83,99100000
SrBachchan,17.704,47458186
yeat1,68.3921,156597
JacksonWang,53.06,5500000
88rising,182.62,624300
Wendys,11.98,3894191
McDonalds,14.49,4540228
Statmuse,110.0745,369604
KaiCenat,78.957,452892
KarolG,94.575,5600000
SanBenito,121.84,3800000
Frostborngames,8.041,2752
Lastdaysurvival,9.806,63300
Robinhood,4.72,1011269
TreyTrades,23.855,256727
Rihanna,66.87,90300000
TayorSwift,43.91,106000000
RyanRenolds,60.16,19496234
TheRock,25.86,27957
Based5656,15.71,10600
MKBHD,68.72,5800000
ArianaGrandeCloneAccount,111.855,540500
Wroetoshaw,139.543,4100000
SalmanKhan,18.38,44000000
SRK,38.484,42500000
